candidate_id,filename,physical_path,type,status,accessible_from_sandbox,use_as,do_not_use_for,verification_source,notes
SP-001,SHOT_02_MIKAGE_PRESENCE__02_UNIFIED_KEY_VISUAL_V4_LOCKED__APPROVED_FOR_FILM_PROOF_SOURCE.png,D:\KAGAMI-MZ_SYNC_PUSH_V2\film_proofs\MIKAGE_FILM_PROOF_01\source_pack_v1\comfyui_canon_candidates\,full-character key visual,LOCKED_APPROVED_FOR_FILM_PROOF_SOURCE,YES,Identity anchor / style reference / IPAdapter source (if reinstated),Canon approval / asset lock / production-ready claim,MIKAGE_USABLE_ASSET_INVENTORY_V1.md §3,Strongest accessible identity reference — copy of MIKAGE_UNIFIED_KEY_VISUAL_V4
SP-002,SHOT_03_TITLE_OR_ICONIC_HERO__03_ZENITH_BLADE_V2_LOCKED__APPROVED_FOR_FILM_PROOF_SOURCE.png,D:\KAGAMI-MZ_SYNC_PUSH_V2\film_proofs\MIKAGE_FILM_PROOF_01\source_pack_v1\comfyui_canon_candidates\,prop / weapon,LOCKED_APPROVED_FOR_FILM_PROOF_SOURCE,YES,Blade identity reference / sword form check,Canon approval / asset lock / production-ready claim,MIKAGE_USABLE_ASSET_INVENTORY_V1.md §3,Copy of ZENITH_BLADE_V2 — use to verify Step 2 sword output
SP-003,SHOT_01_SIGNAL_VOID_OR_SYSTEM_WAKE__01_AUDIO_SHORT_VISUAL_CANON_V4_LOCKED__APPROVED_FOR_FILM_PROOF_SOURCE.png,D:\KAGAMI-MZ_SYNC_PUSH_V2\film_proofs\MIKAGE_FILM_PROOF_01\source_pack_v1\comfyui_canon_candidates\,environment / atmosphere,LOCKED_APPROVED_FOR_FILM_PROOF_SOURCE,YES,Void environment reference / atmosphere style check,Canon approval / film source / production-ready claim,MIKAGE_USABLE_ASSET_INVENTORY_V1.md §3,Best accessible void environment example
SP-004,good_ceramic_00 through good_ceramic_14 (15 images),D:\KAGAMI-MZ_SYNC_PUSH_V2\discrimination_batch\good_ceramic_*,material reference — ceramic surface,POSITIVE_DISCRIMINATION_REFERENCE,YES,Porcelain/ceramic surface quality check — compare against Step 1 and Step 5 helmet output,Canon approval / asset lock / identity reference,mikage_color_canon.json + discrimination batch,15 good ceramic examples — use to score material quality drift
SP-005,SHOT_02_MIKAGE_PRESENCE__GOOGLE_LANE_E2E_001__CANDIDATE_REQUIRES_HUMAN_REVIEW.png,D:\KAGAMI-MZ_SYNC_PUSH_V2\film_proofs\MIKAGE_FILM_PROOF_01\source_pack_v1\visual_candidates\,full-character visual candidate,CANDIDATE_REQUIRES_HUMAN_REVIEW,YES,Secondary identity comparison — not primary reference,Canon approval / production-ready claim / replacing SP-001,FILM-01B report,Requires human visual review before use as reference
SP-006,SHOT_01_SIGNAL_VOID__img_2__CANDIDATE_REQUIRES_HUMAN_REVIEW.png,D:\KAGAMI-MZ_SYNC_PUSH_V2\film_proofs\MIKAGE_FILM_PROOF_01\source_pack_v1\visual_candidates\,environment candidate,CANDIDATE_REQUIRES_HUMAN_REVIEW,YES,Secondary environment comparison only,Production use / canon / asset lock,FILM-01B report,Requires human visual review
SP-007,SHOT_03_TITLE_OR_SYSTEM_WAKE__base_anchor__CANDIDATE_REQUIRES_HUMAN_REVIEW.png,D:\KAGAMI-MZ_SYNC_PUSH_V2\film_proofs\MIKAGE_FILM_PROOF_01\source_pack_v1\visual_candidates\,title / system wake candidate,CANDIDATE_REQUIRES_HUMAN_REVIEW,YES,Secondary environment comparison only,Production use / canon / asset lock,FILM-01B report,Requires human visual review
SP-008,MIKAGE_UNIFIED_KEY_VISUAL_V4_FROM_CLEAN_SOURCES_00001_.png,D:\workspace\ComfyUI\MIKAGE_CANON\08_CHARACTER_REVIEW_CANDIDATES\,full-character key visual,LOCKED_OR_CANON_REFERENCE,NO — NOT MOUNTED,Identity anchor / helmet form reference / style reference,Canon approval / asset lock / production-ready claim,MIKAGE_USABLE_ASSET_INVENTORY_V1.md §3,PRIMARY LOCKED IDENTITY REFERENCE — copy accessible as SP-001
SP-009,MIKAGE_ZENITH_BLADE_V2_POLISH_ONE_SHOT_00001_.png,D:\workspace\ComfyUI\MIKAGE_CANON\08_CHARACTER_REVIEW_CANDIDATES\,weapon / prop,LOCKED_OR_CANON_REFERENCE,NO — NOT MOUNTED,Blade form check / weapon reference,Canon approval / asset lock / production-ready claim,MIKAGE_USABLE_ASSET_INVENTORY_V1.md §3,PRIMARY LOCKED BLADE REFERENCE — copy accessible as SP-002
SP-010,MIKAGE_VOLUME_FIRST_3D_HELMET_SIDE_V1_ORTHO.png,D:\workspace\ComfyUI\MIKAGE_CANON\08_CHARACTER_REVIEW_CANDIDATES\,3D helmet side source,LOCKED_OR_CANON_REFERENCE,NO — NOT MOUNTED,Helmet side volume / geometry reference,Canon approval / asset lock / production-ready claim,MIKAGE_USABLE_ASSET_INVENTORY_V1.md §3,MOUNT D:\workspace\ComfyUI to access — critical for helmet test comparison
SP-011,MIKAGE_HELMET_FRONT_VIEW_3D_SOURCE_V1_ORTHO.png,D:\workspace\ComfyUI\MIKAGE_CANON\08_CHARACTER_REVIEW_CANDIDATES\,3D helmet front source,LOCKED_OR_CANON_REFERENCE,NO — NOT MOUNTED,Helmet front geometry / ovoid form reference,Canon approval / asset lock / production-ready claim,MIKAGE_USABLE_ASSET_INVENTORY_V1.md §3,MOUNT D:\workspace\ComfyUI to access — critical for helmet test comparison
SP-012,MIKAGE_COMP_07B_ZENITH_BLADE_CLEAN_MONOLITH_REVIEW_CANDIDATE.png,D:\workspace\ComfyUI\MIKAGE_CANON\10_COMPONENT_CANDIDATE_SET_V1\07_ZENITH_BLADE\,blade component candidate,PRODUCTION_CANDIDATE_NEEDS_REVIEW,NO — NOT MOUNTED,Blade form candidate — compare against locked ZENITH_BLADE_V2,Canon / replacing locked blade / asset lock,MIKAGE_USABLE_ASSET_INVENTORY_V1.md §3,Not accessible — needs mount
