route_id,asset_or_route_name,category,status,allowed_next_action,forbidden_actions,source_path,verification_source,last_verified_date,notes
AR-001,MIKAGE_UNIFIED_KEY_VISUAL_V4,key visual,LOCKED_OR_CANON_REFERENCE,Use as private canon identity reference / style anchor / component comparison,Full character proof; film plate; shot library; new approval; production stack completion by itself,D:\workspace\ComfyUI\MIKAGE_CANON\08_CHARACTER_REVIEW_CANDIDATES\MIKAGE_UNIFIED_KEY_VISUAL_V4_FROM_CLEAN_SOURCES_00001_.png,docs/handoff/MIKAGE_USABLE_ASSET_INVENTORY_V1.md §3; D:\workspace\ComfyUI\MIKAGE_CANON\MIKAGE_FINAL_ASSET_SET_HANDOFF_REPORT_V1.md; D:\workspace\ComfyUI\MIKAGE_CANON\08_CHARACTER_REVIEW_CANDIDATES\MIKAGE_UNIFIED_KEY_VISUAL_V4_ASSET_LOCK.md,2026-05-14,Carry forward as identity reference in Phase 4 production stack planning
AR-002,ZENITH_BLADE_V2,prop / key asset,LOCKED_OR_CANON_REFERENCE,Prop geometry/style reference and approved blade identity reference,Treating as character; environment; motion or film-ready shot,D:\workspace\ComfyUI\MIKAGE_CANON\08_CHARACTER_REVIEW_CANDIDATES\MIKAGE_ZENITH_BLADE_V2_POLISH_ONE_SHOT_00001_.png,docs/handoff/MIKAGE_USABLE_ASSET_INVENTORY_V1.md §3; D:\workspace\ComfyUI\MIKAGE_CANON\MIKAGE_APPROVED_ASSET_REGISTRY_V1.md; D:\workspace\ComfyUI\MIKAGE_CANON\08_CHARACTER_REVIEW_CANDIDATES\MIKAGE_ZENITH_BLADE_V2_ASSET_LOCK.md,2026-05-14,Integrate as required prop reference in minimum production stack plan
AR-003,AUDIO_SHORT_VISUAL_CANON_V4,visual / locked canon plate,LOCKED_OR_CANON_REFERENCE — APPROVED_FOR_FILM_PROOF_SOURCE,Use as film proof source reference for SHOT_01_SIGNAL_VOID_OR_SYSTEM_WAKE,Public release without proper gate; treating as production-ready without review; new render from this asset,D:\workspace\ComfyUI\MIKAGE_CANON\08_CHARACTER_REVIEW_CANDIDATES\GOOD_IMAGE_VISUAL_REVIEW_PACK_V1\01_AUDIO_SHORT_VISUAL_CANON_V4_LOCKED.png; film_proofs/MIKAGE_FILM_PROOF_01/source_pack_v1/comfyui_canon_candidates/SHOT_01_SIGNAL_VOID_OR_SYSTEM_WAKE__01_AUDIO_SHORT_VISUAL_CANON_V4_LOCKED__APPROVED_FOR_FILM_PROOF_SOURCE.png,docs/handoff/FILM-01B_IMPORT_COMFYUI_CANON_ASSETS_TO_FILM_SOURCE_PACK_V1_REPORT.md; D:\workspace\ComfyUI\MIKAGE_CANON\08_CHARACTER_REVIEW_CANDIDATES\MIKAGE_AUDIO_SHORT_VISUAL_CANON_V4_ASSET_LOCK.md,2026-05-14,Referenced in FILM-01B report as locked and approved for film proof source. Asset lock file confirmed at canon path (not mounted for direct read).
AR-004,MIKAGE_VOLUME_FIRST_3D_HELMET_SIDE_V1,3D helmet source,LOCKED_OR_CANON_REFERENCE,Helmet side-volume source reference for component integration,Rendering; public deployment; treating as full character asset,D:\workspace\ComfyUI\MIKAGE_CANON\08_CHARACTER_REVIEW_CANDIDATES\MIKAGE_VOLUME_FIRST_3D_HELMET_SIDE_V1_ORTHO.png,docs/handoff/MIKAGE_USABLE_ASSET_INVENTORY_V1.md §3; D:\workspace\ComfyUI\MIKAGE_CANON\00_ACTIVE_BOARD\MIKAGE_HELMET_SIDE_SOURCE_AGENT_STATE.md,2026-05-14,Use as locked helmet-side reference while defining Phase 4 stack
AR-005,MIKAGE_HELMET_FRONT_VIEW_3D_SOURCE_V1,3D helmet source,LOCKED_OR_CANON_REFERENCE,Helmet front source reference for component integration,Rendering; public deployment; calling it a full production stack,D:\workspace\ComfyUI\MIKAGE_CANON\08_CHARACTER_REVIEW_CANDIDATES\MIKAGE_HELMET_FRONT_VIEW_3D_SOURCE_V1_ORTHO.png,docs/handoff/MIKAGE_USABLE_ASSET_INVENTORY_V1.md §3; D:\workspace\ComfyUI\MIKAGE_CANON\00_ACTIVE_BOARD\MIKAGE_HELMET_SIDE_SOURCE_AGENT_STATE.md; D:\workspace\ComfyUI\MIKAGE_CANON\08_CHARACTER_REVIEW_CANDIDATES\MIKAGE_HELMET_FRONT_VIEW_3D_SOURCE_V1_FINAL_HANDOFF_REPORT.md,2026-05-14,Use as locked helmet-front reference in minimum stack planning
AR-006,MIKAGE_HELMET_PAIR_TURNAROUND_EXPORT_V2B_BALANCE_TEST,3D helmet turnaround,CHUA_XAC_NHAN,CHUA_XAC_NHAN,CHUA_XAC_NHAN,CHUA_XAC_NHAN,NO_FILE_FOUND — not referenced in any accessible handoff or docs file,2026-05-14,NEED_SOURCE_VERIFICATION — name not found in docs/handoff/ or docs/ — D:\workspace\ComfyUI\MIKAGE_CANON paths not mounted
AR-007,BUST_BRIDGE_ROUTE,asset build route,OPEN — PENDING CANDIDATE GENERATION,Generate bust/upper-body bridge candidate per spec; review against 4-step evaluation,Treating any existing candidate as accepted; starting Phase 5; rendering without authorization,CHUA_XAC_NHAN — candidate file not yet generated,docs/handoff/MIKAGE_PHASE4_STACK_MANIFEST_V2.md §7; docs/handoff/MIKAGE_BUST_UPPER_BODY_BRIDGE_ASSET_REQUEST_SPEC_V1.md,2026-05-14,Spec defined in ASSET-RESET-14. Candidate not yet generated. Phase 5 blocked until candidate accepted.
AR-008,PHASE5_ROUTE,pipeline gate,BLOCKED — NOT MET,Review bust bridge candidate when generated; run Phase 5 readiness re-review,Starting Phase 5 tasks; creating film tasks; rendering,N/A — pipeline gate,docs/handoff/MIKAGE_PHASE4_STACK_MANIFEST_V2.md §9,2026-05-14,5 conditions required. Only 3/5 met. Bust bridge candidate acceptance + readiness re-review PASS both missing.
AR-009,FILM_VIDEO_ROUTE,production route,CLOSED — BLOCKED,None at this phase,Any film task; video task; shotlist; render; motion proof; public submission,N/A — pipeline block,docs/handoff/MIKAGE_USABLE_ASSET_INVENTORY_V1.md §10; docs/handoff/MIKAGE_PHASE4_STACK_MANIFEST_V2.md §12,2026-05-14,Film/video blocked until Phase 4 complete + all downstream gates passed. Do not continue this route.
AR-010,CANON_GATE_SPRINT_ROUTE,canon gate,CLOSED — SPRINT CLOSED,None — route exhausted; new generation required after bust bridge,Returning to this sprint; rerunning gate tests on existing images; claiming any existing image passes,N/A — sprint closed,docs/handoff/00_LATEST_CODEX_HANDOFF.md §6; docs/handoff/ASSET-BUILD-10F_CANON_GATE_SPRINT_REPORT.md,2026-05-14,Best 79/100 (R3). T4/MASK_V3/Imagen all FAIL. Predicted path: 3/4 bust + black bg + blade fill = 86. DO AFTER bust bridge.
AR-011,IPADAPTER_ROUTE,technical route,CLOSED — RETIRED,None — do not return,Any use of IPAdapter approach,N/A — retired,docs/handoff/00_LATEST_CODEX_HANDOFF.md §6,2026-05-14,IPAdapter approach permanently retired. Do not reopen.
