lead_no,lead_name,category,public_reference,why_relevant,priority,offer_tier,contact_status,next_action
001,Floombo / Garn47,indie_game_creator,https://floombo.itch.io/garn47,surreal low-poly horror/adventure game with strong odd-world visual identity,HIGH,19_USD_SHORT_HOOK_STARTER,NOT_CONTACTED,Find current preferred contact/social before outreach
002,Beeswax Games / No Players Online,indie_horror_studio,https://store.steampowered.com/app/2701800/No_Players_Online/,horror/ARG game about abandoned multiplayer servers fits dark signal identity,HIGH,19_USD_SHORT_HOOK_STARTER,NOT_CONTACTED,Find official contact or press kit first
003,Adam Pype / papercookies,indie_horror_creator,https://papercookies.itch.io/no-players-online,creator identity tied to No Players Online Classic and short horror/ARG lane,HIGH,19_USD_SHORT_HOOK_STARTER,NOT_CONTACTED,Check current social/contact before outreach
004,LWMedia / Nightmare Kart,indie_game_studio,https://store.steampowered.com/app/2930160/Nightmare_Kart/,retro/low-poly gothic racing game with strong short-form visual identity,MEDIUM,19_USD_SHORT_HOOK_STARTER,NOT_CONTACTED,Find studio contact page
005,Temmie Chang / Escaped Chasm,indie_game_creator,https://tuyoki.itch.io/escaped-chasm,story/art-driven indie RPG/visual mood fits music/identity package,LOW,9_USD_SIGNAL_TAG,NOT_CONTACTED,Research current public contact; do not spam
006,Scythe Dev Team / Northbury Grove,indie_horror_studio,https://scythedevteam.itch.io/northbury-grove,analog/VHS horror aesthetics fit dark signal/audio identity,HIGH,19_USD_SHORT_HOOK_STARTER,NOT_CONTACTED,Find active official social/contact
007,Jump Over the Age / Citizen Sleeper,indie_game_studio,https://jumpovertheage.com/,sci-fi narrative game/station setting fits sonic identity but likely larger team,LOW,29_USD_CREATOR_SIGNAL_MINI_PACK,NOT_CONTACTED,Research if they accept external pitches
008,Odd Tales / The Last Night,indie_game_studio,https://www.oddtales.net/,cinematic cyberpunk platformer reference strongly matches Mikage visual/music lane,LOW,29_USD_CREATOR_SIGNAL_MINI_PACK,NOT_CONTACTED,Benchmark first; not first outreach target
009,Sharkbomb Studios / Nowhere Prophet,indie_game_studio,https://www.sharkbombs.com/,post-apocalyptic/deckbuilder identity could fit signal/audio branding,MEDIUM,19_USD_SHORT_HOOK_STARTER,NOT_CONTACTED,Find contact form
010,marisa0704 / Brother Hai's Pho Restaurant,indie_horror_creator,https://marisa0704.itch.io/brother-hai-pho-restaurant,Vietnamese indie horror creator with viral attention and cultural specificity,HIGH,9_USD_SIGNAL_TAG,NOT_CONTACTED,Find creator preferred contact before outreach
011,Neuro-sama / Vedal,AI_VTuber_music_creator,https://www.youtube.com/@Neurosama,AI VTuber with singing/music content; useful benchmark and possible collaboration fit,LOW,29_USD_CREATOR_SIGNAL_MINI_PACK,NOT_CONTACTED,Do not cold pitch first; benchmark only unless contact route is clear
012,Aisha Channel,virtual_youtuber,https://www.youtube.com/@AishaChannel,virtual singer/gamer channel; possible fit for compact signal/caption package,MEDIUM,9_USD_SIGNAL_TAG,NOT_CONTACTED,Check active business contact
013,Kizuna AI Inc / A.I.Channel,virtual_artist_company,https://kizunaai.com/,major virtual artist benchmark; too large for first micro-offer,LOW,29_USD_CREATOR_SIGNAL_MINI_PACK,NOT_CONTACTED,Benchmark only
014,Glorb,AI_music_creator,https://glorbworldwide.com/,AI/character music project with large audience; relevant category benchmark,LOW,29_USD_CREATOR_SIGNAL_MINI_PACK,NOT_CONTACTED,Benchmark only; avoid IP-risk framing
015,Kwebbelkop AI,AI_creator_channel,https://www.youtube.com/@KwebbelkopAI,AI avatar/channel experiment; relevant to AI creator identity,LOW,19_USD_SHORT_HOOK_STARTER,NOT_CONTACTED,Benchmark first
016,IngaRose,AI_music_artist,https://www.instagram.com/ingarosemusic/,AI-assisted music act with social presence; category-relevant,LOW,19_USD_SHORT_HOOK_STARTER,NOT_CONTACTED,Benchmark; do not assume buyer interest
